,AC_POWER
68873,0.0
68874,0.0
68875,0.0
68876,0.0
68877,0.0
68881,0.0
68880,0.0
86,0.0
87,0.0
88,0.0
68883,0.0
105,0.0
104,0.0
103,0.0
102,0.0
101,0.0
100,0.0
99,0.0
68878,0.0
98,0.0
96,0.0
95,0.0
94,0.0
93,0.0
92,0.0
91,0.0
90,0.0
89,0.0
68862,0.0
97,0.0
106,0.0
109,0.0
111,0.0
112,0.0
68900,0.0
68899,0.0
68898,0.0
68897,0.0
68896,0.0
68895,0.0
68894,0.0
68893,0.0
68892,0.0
68891,0.0
68890,0.0
68889,0.0
68888,0.0
68887,0.0
68886,0.0
68885,0.0
68884,0.0
68901,0.0
110,0.0
68902,0.0
68904,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
107,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
68905,0.0
68903,0.0
108,0.0
127,0.0
68926,0.0
68927,0.0
68906,0.0
68907,0.0
68908,0.0
68909,0.0
68910,0.0
68911,0.0
68912,0.0
68913,0.0
68914,0.0
68916,0.0
68917,0.0
68918,0.0
68919,0.0
68920,0.0
68921,0.0
68922,0.0
68923,0.0
68924,0.0
68925,0.0
128,0.0
68915,0.0
129,0.0
130,0.0
147,0.0
146,0.0
145,0.0
144,0.0
143,0.0
142,0.0
141,0.0
140,0.0
131,0.0
138,0.0
137,0.0
136,0.0
135,0.0
134,0.0
133,0.0
132,0.0
139,0.0
68932,0.0
68933,0.0
68934,0.0
68935,0.0
68936,0.0
68937,0.0
152,0.0
68942,0.0
68939,0.0
68940,0.0
68931,0.0
68943,0.0
68944,0.0
68945,0.0
68946,0.0
68947,0.0
68938,0.0
68930,0.0
154,0.0
68928,0.0
169,0.0
168,0.0
167,0.0
166,0.0
165,0.0
164,0.0
163,0.0
162,0.0
161,0.0
160,0.0
159,0.0
68948,0.0
158,0.0
157,0.0
156,0.0
155,0.0
153,0.0
68929,0.0
68949,0.0
68941,0.0
151,0.0
149,0.0
148,0.0
150,0.0
170,0.0
171,0.0
190,0.0
189,0.0
188,0.0
187,0.0
186,0.0
185,0.0
184,0.0
182,0.0
181,0.0
180,0.0
179,0.0
178,0.0
177,0.0
176,0.0
175,0.0
174,0.0
183,0.0
68957,0.0
68956,0.0
172,0.0
68968,0.0
68969,0.0
68970,0.0
68971,0.0
68967,0.0
173,0.0
68965,0.0
68964,0.0
68963,0.0
68962,0.0
68966,0.0
68960,0.0
68955,0.0
68954,0.0
68961,0.0
68952,0.0
68953,0.0
68950,0.0
68958,0.0
68959,0.0
68951,0.0
191,0.0
192,0.0
193,0.0
201,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
202,0.0
68975,0.0
68974,0.0
68976,0.0
68977,0.0
68978,0.0
68979,0.0
68980,0.0
68981,0.0
68982,0.0
68983,0.0
68984,0.0
68985,0.0
68986,0.0
68987,0.0
68988,0.0
68989,0.0
68990,0.0
68991,0.0
68992,0.0
68993,0.0
68973,0.0
68972,0.0
211,0.0
210,0.0
209,0.0
208,0.0
207,0.0
206,0.0
205,0.0
203,0.0
204,0.0
219,0.0
213,0.0
68997,0.0
68998,0.0
68999,0.0
69000,0.0
69001,0.0
69002,0.0
69003,0.0
69004,0.0
69005,0.0
69006,0.0
69007,0.0
69008,0.0
69009,0.0
69010,0.0
69011,0.0
69012,0.0
69013,0.0
68996,0.0
212,0.0
68995,0.0
218,0.0
214,0.0
215,0.0
216,0.0
217,0.0
232,0.0
231,0.0
230,0.0
229,0.0
228,0.0
227,0.0
226,0.0
224,0.0
223,0.0
222,0.0
221,0.0
220,0.0
69015,0.0
68994,0.0
225,0.0
69014,0.0
248,0.0
246,0.0
245,0.0
244,0.0
243,0.0
242,0.0
241,0.0
240,0.0
247,0.0
253,0.0
239,0.0
237,0.0
236,0.0
235,0.0
234,0.0
233,0.0
249,0.0
250,0.0
251,0.0
238,0.0
69037,0.0
252,0.0
69035,0.0
69032,0.0
69031,0.0
69030,0.0
69029,0.0
69028,0.0
69027,0.0
69026,0.0
69036,0.0
69024,0.0
69023,0.0
69022,0.0
69021,0.0
69020,0.0
69019,0.0
69018,0.0
69017,0.0
69016,0.0
69033,0.0
69034,0.0
69025,0.0
69058,0.0
271,0.0
270,0.0
269,0.0
268,0.0
267,0.0
266,0.0
265,0.0
264,0.0
272,0.0
263,0.0
261,0.0
260,0.0
259,0.0
258,0.0
257,0.0
256,0.0
255,0.0
254,0.0
262,0.0
69056,0.0
273,0.0
69038,0.0
69059,0.0
69055,0.0
69054,0.0
69053,0.0
69052,0.0
69051,0.0
69050,0.0
69049,0.0
274,0.0
69048,0.0
69046,0.0
69045,0.0
69044,0.0
69043,0.0
69042,0.0
69041,0.0
69040,0.0
69039,0.0
69047,0.0
69057,0.0
284,0.0
294,0.0
282,0.0
279,0.0
278,0.0
277,0.0
276,0.0
283,0.0
285,0.0
287,0.0
275,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
295,0.0
286,0.0
280,0.0
69075,0.0
69078,0.0
69079,0.0
69080,0.0
69081,0.0
69077,0.0
69076,0.0
69074,0.0
69073,0.0
69072,0.0
69070,0.0
69071,0.0
69068,0.0
69067,0.0
69066,0.0
69065,0.0
69064,0.0
69063,0.0
69062,0.0
69061,0.0
281,0.0
69060,0.0
69069,0.0
301,0.0
304,0.0
303,0.0
302,0.0
300,0.0
69102,0.0
298,0.0
297,0.0
296,0.0
305,0.0
299,0.0
306,0.0
309,0.0
308,0.0
69101,0.0
69099,0.0
69098,0.0
69097,0.0
69096,0.0
69095,0.0
69094,0.0
69093,0.0
69092,0.0
69091,0.0
69090,0.0
69089,0.0
69088,0.0
69087,0.0
69086,0.0
69085,0.0
69084,0.0
69083,0.0
69082,0.0
316,0.0
315,0.0
314,0.0
313,0.0
312,0.0
311,0.0
310,0.0
69103,0.0
307,0.0
69100,0.0
330,0.0
69119,0.0
69123,0.0
69122,0.0
